DEBTOR_NO;RAND_NO;SNAPSHOT_DATE;IS_PAID_12M;IS_PAID_6M;IS_PAID_3M;IS_PAID_AMT_12M;IS_PAID_AMT_6M;IS_PAID_AMT_3M;CASE_AGE_MONTHS;INTEREST_RATE;REM_PRINCIPAL_AMT;REM_PRINCIPAL_INTEREST_AMT;REM_TOTAL_AMT;DEBTOR_AGE;PAID_AMT_12M;PAID_AMT_6M;PAID_AMT_3M;INCOME_TOTAL_LAST_YEAR;TOTAL_DEBT_AMT
1;53390578;2019-12-31;0;0;0;0;0;0;98;27;3000;10000;11000;45;0;0;0;0;67233
2;72536782;2019-12-31;0;0;0;0;0;0;96;26;18000;47000;47000;28;0;0;0;54004;152604
3;6806414;2019-12-31;0;0;0;0;0;0;92;9;3000;6000;6000;22;0;0;0;113829;42052
4;6277796;2019-12-31;0;0;0;0;0;0;98;26;9000;23000;24000;22;0;0;0;191168;62821
5;69339423;2019-12-31;0;0;0;0;0;0;98;26;1000;4000;5000;54;0;0;0;185517;45237
6;82014147;2019-12-31;0;0;0;0;0;0;96;27;7000;21000;22000;55;0;0;0;129466;272288
7;62112364;2019-12-31;1;1;0;2901;551;0;97;26;23000;70000;72000;49;0;0;0;134119;17444
8;732144;2019-12-31;0;0;0;0;0;0;87;26;6000;13000;13000;56;0;0;0;132143;42551
9;35399848;2019-12-31;0;0;0;0;0;0;91;24;2000;6000;8000;45;0;0;0;309651;555023
10;42031294;2019-12-31;1;0;0;522;0;0;72;31;3000;11000;12000;51;0;0;0;428035;101112
11;89428530;2019-12-31;0;0;0;0;0;0;82;24;4000;13000;14000;53;0;0;0;175863;465943
12;76745870;2019-12-31;0;0;0;0;0;0;77;18;66000;148000;149000;43;0;0;0;76359;106887
13;57222073;2019-12-31;0;0;0;0;0;0;8;19;5000;8000;8000;40;0;0;0;406346;117606
14;90921536;2019-12-31;0;0;0;0;0;0;85;24;0;2000;3000;42;0;0;0;0;53440
15;72852467;2019-12-31;0;0;0;0;0;0;94;24;3000;11000;12000;43;0;0;0;NULL;59432
16;26495574;2019-12-31;0;0;0;0;0;0;50;25;1000;4000;4000;41;0;0;0;339053;88781
17;48316697;2019-12-31;0;0;0;0;0;0;16;26;1000;1000;1000;30;0;0;0;186118;28647
18;56227244;2019-12-31;0;0;0;0;0;0;97;26;4000;12000;13000;41;0;0;0;79125;40695
19;17678280;2019-12-31;0;0;0;0;0;0;79;24;1000;4000;4000;41;0;0;0;0;8001
20;1681337;2019-12-31;0;0;0;0;0;0;53;32;27000;84000;89000;37;0;0;0;304216;184133
21;85761313;2019-12-31;0;0;0;0;0;0;88;25;19000;55000;55000;36;0;0;0;0;34954
22;95099597;2019-12-31;0;0;0;0;0;0;79;24;11000;31000;32000;23;0;0;0;0;30321
23;72293183;2019-12-31;0;0;0;0;0;0;8;20;6000;14000;15000;29;0;0;0;75263;56250
24;72668798;2019-12-31;0;0;0;0;0;0;88;27;2000;7000;7000;32;0;0;0;0;23130
25;36824211;2019-12-31;0;0;0;0;0;0;88;27;0;1000;2000;32;0;0;0;76635;13979
26;92825904;2019-12-31;0;0;0;0;0;0;90;25;10000;29000;30000;26;0;0;0;NULL;104289
27;40161518;2019-12-31;0;0;0;0;0;0;86;24;1000;5000;6000;65;0;0;0;NULL;102483
28;43931730;2019-12-31;0;0;0;0;0;0;72;8;0;0;1000;66;0;0;0;156211;151863
29;40443621;2019-12-31;0;0;0;0;0;0;90;25;3000;9000;10000;63;0;0;0;174707;16966
30;53885769;2019-12-31;1;0;0;53;0;0;92;26;0;1000;2000;65;248;90;0;NULL;0
31;40318559;2019-12-31;0;0;0;0;0;0;91;24;2000;6000;6000;57;0;0;0;NULL;12556
32;9327475;2019-12-31;0;0;0;0;0;0;50;25;3000;7000;9000;53;0;0;0;254183;717636
33;77445268;2019-12-31;0;0;0;0;0;0;95;27;1000;3000;3000;54;0;0;0;68150;97904
34;56166161;2019-12-31;0;0;0;0;0;0;94;26;0;1000;2000;56;0;0;0;30635;5319
35;43232372;2019-12-31;0;0;0;0;0;0;81;18;55000;132000;133000;54;0;0;0;0;40877
36;22449183;2019-12-31;0;0;0;0;0;0;90;21;29000;119000;119000;53;0;0;0;216332;364185
37;66210121;2019-12-31;0;0;0;0;0;0;81;26;0;0;1000;58;0;0;0;213266;585272
38;13077976;2019-12-31;0;0;0;0;0;0;88;24;0;1000;2000;60;0;0;0;0;15810
39;50905964;2019-12-31;0;0;0;0;0;0;79;25;2000;5000;6000;47;0;0;0;0;482151
40;22413427;2019-12-31;0;0;0;0;0;0;95;26;1000;4000;6000;48;0;0;0;51581;82854
41;97424902;2019-12-31;0;0;0;0;0;0;97;24;2000;7000;9000;47;0;0;0;0;33452
42;34563679;2019-12-31;1;0;0;552;0;0;96;26;2000;5000;6000;61;0;0;0;227229;94969
43;46146455;2019-12-31;0;0;0;0;0;0;83;24;1000;4000;5000;48;0;0;0;540587;527720
44;40186636;2019-12-31;0;0;0;0;0;0;93;26;0;1000;2000;49;0;0;0;215185;66688
45;54966788;2019-12-31;0;0;0;0;0;0;5;26;0;0;1000;50;0;0;0;897;15943
46;50920673;2019-12-31;0;0;0;0;0;0;83;24;0;2000;2000;56;0;0;0;NULL;2934567
47;84743549;2019-12-31;0;0;0;0;0;0;93;22;31000;83000;83000;55;0;0;0;NULL;4125
48;21972451;2019-12-31;0;0;0;0;0;0;85;25;3000;9000;10000;53;0;0;0;223669;360275
49;12032520;2019-12-31;0;0;0;0;0;0;93;24;13000;41000;41000;57;0;0;0;0;28859
50;80909098;2019-12-31;1;0;0;95;0;0;81;26;1000;4000;6000;49;0;0;0;252296;228072
51;51720966;2019-12-31;0;0;0;0;0;0;95;24;1000;3000;4000;43;0;0;0;NULL;84005
52;22820629;2019-12-31;0;0;0;0;0;0;89;11;7000;12000;13000;43;0;0;0;259124;196883
53;76118959;2019-12-31;0;0;0;0;0;0;71;11;4000;6000;7000;43;0;0;0;0;110742
54;64681773;2019-12-31;0;0;0;0;0;0;76;21;5000;15000;17000;43;0;0;0;NULL;67355
55;48696135;2019-12-31;0;0;0;0;0;0;83;25;0;2000;3000;41;0;0;0;NULL;151165
56;90227096;2019-12-31;0;0;0;0;0;0;96;27;2000;7000;8000;43;0;0;0;77642;1063464
57;6581884;2019-12-31;0;0;0;0;0;0;83;24;1000;3000;4000;41;0;0;0;246174;251926
58;96905136;2019-12-31;0;0;0;0;0;0;91;27;1000;3000;3000;45;0;0;0;NULL;52878
59;6761418;2019-12-31;0;0;0;0;0;0;79;27;1000;2000;4000;48;0;0;0;0;147377
60;19602383;2019-12-31;0;0;0;0;0;0;97;27;0;1000;2000;42;0;0;0;NULL;33956
61;18670734;2019-12-31;0;0;0;0;0;0;91;27;1000;2000;3000;40;0;0;0;NULL;29934
62;95822616;2019-12-31;0;0;0;0;0;0;91;25;2000;6000;8000;51;0;0;0;119922;233608
63;74835519;2019-12-31;0;0;0;0;0;0;76;25;2000;7000;8000;49;0;0;0;NULL;25443
64;16445263;2019-12-31;0;0;0;0;0;0;91;27;3000;9000;11000;38;0;0;0;NULL;293845
65;6513999;2019-12-31;0;0;0;0;0;0;89;24;1000;5000;6000;49;0;0;0;4942;27697
66;14736674;2019-12-31;0;0;0;0;0;0;96;25;1000;4000;7000;45;0;0;0;0;1256482
67;97814039;2019-12-31;0;0;0;0;0;0;88;26;2000;6000;7000;46;0;0;0;0;234893
68;26317907;2019-12-31;0;0;0;0;0;0;87;17;15000;37000;38000;45;0;0;0;NULL;159560
69;62863288;2019-12-31;0;0;0;0;0;0;88;24;0;2000;2000;40;0;0;0;169851;110813
70;47769075;2019-12-31;0;0;0;0;0;0;78;15;7000;25000;25000;40;0;0;0;NULL;50057
71;56379989;2019-12-31;0;0;0;0;0;0;88;24;0;2000;3000;36;0;0;0;68499;82134
72;57404166;2019-12-31;0;0;0;0;0;0;4;24;1000;2000;2000;34;0;0;0;260260;95561
73;22428127;2019-12-31;0;0;0;0;0;0;87;24;2000;6000;7000;47;0;0;0;0;249295
74;46463663;2019-12-31;0;0;0;0;0;0;86;25;1000;3000;4000;36;0;0;0;359260;129531
75;9353867;2019-12-31;0;0;0;0;0;0;14;26;0;0;0;33;0;0;0;39390;19655
76;60215217;2019-12-31;0;0;0;0;0;0;67;32;9000;30000;30000;42;0;0;0;0;300598
77;22078658;2019-12-31;0;0;0;0;0;0;93;25;0;2000;3000;39;0;0;0;NULL;296997
78;65339933;2019-12-31;0;0;0;0;0;0;17;26;1000;1000;1000;38;0;0;0;235683;24064
79;26114117;2019-12-31;0;0;0;0;0;0;82;24;1000;5000;6000;40;0;0;0;0;42859
80;35449912;2019-12-31;0;0;0;0;0;0;16;24;1000;1000;2000;35;3897;0;0;193227;9045
81;17077247;2019-12-31;0;0;0;0;0;0;1;26;2000;2000;3000;33;0;0;0;180530;0
82;93242370;2019-12-31;0;0;0;0;0;0;89;25;1000;3000;4000;39;0;0;0;125132;182911
83;33834374;2019-12-31;0;0;0;0;0;0;93;26;1000;4000;5000;36;0;0;0;0;99193
84;60743753;2019-12-31;0;0;0;0;0;0;86;25;4000;11000;13000;32;0;0;0;0;93852
85;48906019;2019-12-31;0;0;0;0;0;0;88;24;0;1000;1000;34;0;0;0;NULL;34384
86;79760906;2019-12-31;0;0;0;0;0;0;79;30;12000;42000;42000;33;0;0;0;178532;44422
87;8023628;2019-12-31;0;0;0;0;0;0;90;27;0;1000;2000;38;0;0;0;NULL;759213
88;72343363;2019-12-31;0;0;0;0;0;0;82;8;6000;10000;10000;39;0;0;0;0;0
89;90392788;2019-12-31;1;0;0;5;0;0;80;25;0;1000;3000;39;0;0;0;147742;73923
90;38645662;2019-12-31;0;0;0;0;0;0;97;9;2000;4000;5000;40;0;0;0;NULL;67852
91;38383518;2019-12-31;0;0;0;0;0;0;60;33;5000;21000;22000;28;0;0;0;174721;128321
92;14227200;2019-12-31;1;0;0;8;0;0;87;25;0;2000;3000;31;0;0;0;283757;87617
93;85996002;2019-12-31;0;0;0;0;0;0;84;8;3000;6000;8000;29;0;0;0;57162;10699
94;64143019;2019-12-31;0;0;0;0;0;0;82;16;12000;27000;27000;27;0;0;0;NULL;267654
95;14668000;2019-12-31;0;0;0;0;0;0;93;26;0;1000;2000;32;0;0;0;104926;2061
96;51195452;2019-12-31;1;1;1;5190;4000;3793;87;26;1000;4000;4000;25;328;0;0;396717;241714
97;81977591;2019-12-31;0;0;0;0;0;0;85;16;11000;36000;37000;28;0;0;0;NULL;115695
98;82150201;2019-12-31;1;0;0;19;0;0;91;24;0;1000;2000;31;0;0;0;0;11121
99;97435338;2019-12-31;0;0;0;0;0;0;87;27;0;2000;3000;33;0;0;0;NULL;0
100;22459526;2019-12-31;0;0;0;0;0;0;88;25;2000;6000;6000;34;0;0;0;0;32010
101;14953229;2019-12-31;0;0;0;0;0;0;87;25;2000;7000;8000;32;0;0;0;NULL;29787
102;43133496;2019-12-31;0;0;0;0;0;0;81;26;1000;4000;5000;30;0;0;0;0;61119
